,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,estado,ciudad,latitud,longitud,detalles,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
10,Fernando de Peñalver_Anzoategui,2011,Venezuela,Anzoategui,Fernando de Peñalver,33437,17049,16388,22814,4460,828,31291,28552,3161,23370,757,3073,8660,12158,6978,,,,,12522,11855,466,1452,1232,31,6584,1091,7246,,,,,,,,,25461,12890,12571,,239,683,24104,21952,2192,,,2031,5838,9496,6085,,,,,9195,8864,160,1452,630,9,4634,137,5258,,,,,,,,,fernando penalver,anzoategui,anzoategui,anzoategui,100,2,anzoategui,fernando penalver,fernando penalver,100,,,,,,,,,,,,,False
11,Francisco del Carmen Carvajal_Anzoategui,2011,Venezuela,Anzoategui,Francisco del Carmen Carvajal,14653,7483,7170,10689,18,431,13631,11503,2279,8972,793,2068,5320,4474,1601,,,,,4050,3515,422,846,282,42,2859,833,3257,,,,,,,,,11041,5529,5512,,17,306,10208,8898,1533,,,1358,3848,3589,1413,,,,,3038,2751,202,846,133,11,2068,426,2437,,,,,,,,,francisco del carmen carvajal,anzoategui,anzoategui,anzoategui,100,3,anzoategui,francisco del carmen carvajal,francisco del carmen carvajal,100,,,,,,,,,,,,,False
12,Francisco de Miranda_Anzoategui,2011,Venezuela,Anzoategui,Francisco de Miranda,43173,22089,21084,36130,441,2390,40242,35628,5349,28760,2137,4804,12447,16458,5586,,,,,14432,13632,638,4923,3615,320,9673,2074,11312,,,,,,,,,36757,18566,18191,,154,1888,34321,30707,4149,,,3756,10326,14315,5262,,,,,11705,11207,228,4923,2348,36,7584,522,9209,,,,,,,,,francisco miranda,anzoategui,anzoategui,anzoategui,100,4,anzoategui,francisco miranda,francisco miranda,100,,,,,,,,,,,,,False
13,Guanta_Anzoategui,2011,Venezuela,Anzoategui,Guanta,30891,15302,15589,26117,17,1629,29976,26343,2872,21621,795,2583,8067,12620,4813,,,,,8971,7620,308,4081,1168,12,3061,892,5889,,,,,,,,,27645,13626,14019,,13,1466,26809,23727,2433,,,2202,7046,11343,4564,,,,,7873,6739,204,4081,837,11,2237,438,5094,,,,,,,,,guanta,anzoategui,anzoategui,anzoategui,100,5,anzoategui,guanta,guanta,100,,,,,,,,,,,,,False
14,Independencia_Anzoategui,2011,Venezuela,Anzoategui,Independencia,30016,15437,14579,14728,1072,1764,28249,24552,3741,19663,1315,3448,9086,11505,3520,,,,,9597,8536,825,899,1373,254,5826,3381,7061,,,,,,,,,19593,9764,9829,,82,1066,18351,16365,2137,,,1963,5177,7982,2884,,,,,5766,5503,177,899,322,12,2925,775,4179,,,,,,,,,independencia,anzoategui,anzoategui,anzoategui,100,6,anzoategui,independencia,independencia,100,,,,,,,,,,,,,False
15,Juan Antonio Sotillo_Anzoategui,2011,Venezuela,Anzoategui,Juan Antonio Sotillo,244728,122041,122687,185737,2370,9162,231185,208711,22816,173480,5786,21209,63640,93587,45785,,,,,69777,62039,2127,36479,6176,134,14417,5712,43543,,,,,,,,,243572,121414,122158,,2370,9064,230078,207859,22579,,,20973,63166,93258,45743,,,,,69448,61809,1999,36479,6000,113,14126,5419,43245,,,,,,,,,juan antonio sotillo,anzoategui,anzoategui,anzoategui,100,7,anzoategui,juan antonio sotillo,juan antonio sotillo,100,,,,,,,,,,,,,False
16,Juan Manuel Cajigal_Anzoategui,2011,Venezuela,Anzoategui,Juan Manuel Cajigal,13476,7235,6241,10933,2004,499,12678,10530,2274,8321,1201,2056,5176,3791,1393,,,,,4334,3568,924,412,1464,368,3212,2295,3899,,,,,,,,,5398,2726,2672,,4,290,5077,4252,880,,,803,1762,1657,764,,,,,1591,1497,89,412,38,7,663,237,1305,,,,,,,,,juan manuel cajigal,anzoategui,anzoategui,anzoategui,100,8,anzoategui,juan manuel cajigal,juan manuel cajigal,100,,,,,,,,,,,,,False
17,Jose Gregorio Monagas_Anzoategui,2011,Venezuela,Anzoategui,Jose Gregorio Monagas,17534,9271,8263,14395,897,1561,16233,13234,3218,9983,1567,3059,6611,5353,904,,,,,6164,5273,1162,523,2097,501,4671,1991,4768,,,,,,,,,9469,4898,4571,,62,882,8658,7272,1591,,,1489,3430,3098,601,,,,,3064,2754,281,523,465,23,2167,456,2251,,,,,,,,,jose gregorio monagas,anzoategui,anzoategui,anzoategui,100,9,anzoategui,jose gregorio monagas,jose gregorio monagas,100,,,,,,,,,,,,,False
18,Libertad_Anzoategui,2011,Venezuela,Anzoategui,Libertad,14437,7580,6857,13346,7,907,13558,11215,2349,8971,1171,2275,4275,4430,1668,,,,,5416,4725,430,404,1383,64,2943,1166,3894,,,,,,,,,8104,4143,3961,,6,584,7514,6518,1084,,,1099,2135,2617,1221,,,,,2729,2561,99,404,379,12,1108,164,2036,,,,,,,,,libertad,anzoategui,anzoategui,anzoategui,100,10,anzoategui,libertad,libertad,100,,,,,,,,,,,,,False
19,Manuel Ezequiel Bruzual_Anzoategui,2011,Venezuela,Anzoategui,Manuel Ezequiel Bruzual,32655,16787,15868,27768,59,1043,31464,26030,4694,20505,1892,4258,11411,10654,3579,,,,,10219,9389,1030,4606,1680,160,7362,2905,7749,,,,,,,,,22032,11053,10979,,35,698,21237,18044,2691,,,2404,6995,7796,2978,,,,,6709,6339,348,4606,408,35,4716,573,5101,,,,,,,,,manuel ezequiel bruzual,anzoategui,anzoategui,anzoategui,100,11,anzoategui,manuel ezequiel bruzual,manuel ezequiel bruzual,100,,,,,,,,,,,,,False
20,Pedro Maria Freites_Anzoategui,2011,Venezuela,Anzoategui,Pedro Maria Freites,73121,37560,35561,62284,7056,2022,68673,60427,8588,48282,3100,8095,20567,27146,11117,,,,,23818,21578,1310,4613,4590,518,9926,4921,17367,,,,,,,,,51860,25959,25901,,178,1467,48508,44139,4955,,,4820,13013,20262,9692,,,,,16560,15272,297,4613,2275,47,4263,788,11490,,,,,,,,,pedro maria freites,anzoategui,anzoategui,anzoategui,100,12,anzoategui,pedro maria freites,pedro maria freites,100,,,,,,,,,,,,,False
21,Piritu_Anzoategui,2011,Venezuela,Anzoategui,Piritu,23248,11861,11387,18434,5121,580,21674,19338,2592,15637,761,2219,7147,8834,3066,,,,,7102,6448,382,3256,1184,25,5104,1795,5321,,,,,,,,,21714,11072,10642,,4071,559,20188,18142,2360,,,2005,6575,8359,2925,,,,,6686,6075,308,3256,1067,19,4749,1464,4967,,,,,,,,,piritu,anzoategui,anzoategui,anzoategui,100,13,anzoategui,piritu,piritu,100,,,,,,,,,,,,,False
22,San Jose de Guanipa_Anzoategui,2011,Venezuela,Anzoategui,San Jose de Guanipa,76398,38086,38312,59647,151,2634,72461,64732,7563,52534,1655,6982,20287,31149,12118,,,,,22972,21485,276,10647,554,64,8590,1708,15220,,,,,,,,,75692,37620,38072,,148,2596,71789,64172,7449,,,6879,19996,30924,12087,,,,,22590,21173,189,10647,344,19,8299,1442,14931,,,,,,,,,san jose guanipa,anzoategui,anzoategui,anzoategui,100,14,anzoategui,san jose guanipa,san jose guanipa,100,,,,,,,,,,,,,False
23,San Juan de Capistrano_Anzoategui,2011,Venezuela,Anzoategui,San Juan de Capistrano,9047,4551,4496,6990,16,322,8387,7369,1089,5802,351,1065,2639,3330,1076,,,,,3868,3657,184,414,62,8,2026,463,2032,,,,,,,,,7962,3991,3971,,15,277,7372,6510,936,,,907,2297,2960,957,,,,,3056,2886,147,414,46,8,1749,290,1746,,,,,,,,,san juan capistrano,anzoategui,anzoategui,anzoategui,100,15,anzoategui,san juan capistrano,san juan capistrano,100,,,,,,,,,,,,,False
24,Santa Ana_Anzoategui,2011,Venezuela,Anzoategui,Santa Ana,9636,4895,4741,8197,53,545,8944,8093,1091,6596,451,961,2504,3841,1312,,,,,3645,3373,131,466,586,12,1388,507,2458,,,,,,,,,8695,4334,4361,,42,481,8052,7363,928,,,824,2167,3523,1262,,,,,3257,3046,93,466,370,8,1072,218,2141,,,,,,,,,santa ana,anzoategui,anzoategui,anzoategui,100,16,anzoategui,santa ana,santa ana,100,,,,,,,,,,,,,False
25,Simon Bolivar_Anzoategui,2011,Venezuela,Anzoategui,Simon Bolivar,421424,210127,211297,351513,8197,16858,401521,357439,40441,294933,9991,38429,105496,158969,84178,,,,,126215,111619,4259,54441,9537,457,40343,18855,80797,,,,,,,,,405588,201777,203811,,3737,15769,386733,345424,37606,,,35759,99375,154378,83187,,,,,120213,106844,3182,54441,6589,196,36151,15170,76581,,,,,,,,,simon bolivar,anzoategui,anzoategui,anzoategui,100,17,anzoategui,simon bolivar,simon bolivar,100,,,,,,,,,,,,,False
26,Simon Rodriguez_Anzoategui,2011,Venezuela,Anzoategui,Simon Rodriguez,182474,90503,91971,139402,748,6283,171271,154840,17659,127114,4140,17944,44187,69315,33315,,,,,61613,58926,575,32392,4356,211,18838,4514,35901,,,,,,,,,179333,88718,90615,,743,6172,168250,152289,17256,,,17514,43198,68193,32968,,,,,59620,57018,492,32392,3877,188,17884,3857,34835,,,,,,,,,simon rodriguez,anzoategui,anzoategui,anzoategui,100,18,anzoategui,simon rodriguez,simon rodriguez,100,,,,,,,,,,,,,False
27,Turistico Diego Bautista Urbaneja_Anzoategui,2011,Venezuela,Anzoategui,Turistico Diego Bautista Urbaneja,37829,18597,19232,22301,23,665,36596,34325,2121,30907,430,2087,3928,8933,19407,,,,,19906,19822,12,8126,101,5,234,14,4419,,,,,,,,,37829,18597,19232,,23,665,36596,34325,2121,,,2087,3928,8933,19407,,,,,19906,19822,12,8126,101,5,234,14,4419,,,,,,,,,turistico diego bautista urbaneja,anzoategui,anzoategui,anzoategui,100,20,anzoategui,turistico diego bautista urbaneja,turistico diego bautista urbaneja,100,,,,,,,,,,,,,False
28,Achaguas_Apure,2011,Venezuela,Apure,Achaguas,58516,29983,28533,54884,3509,4015,55872,42789,12017,32557,5952,11577,20175,14320,7206,,,,,16095,14120,4610,1333,9978,1490,10339,8769,13204,,,,,,,,,29509,14508,15001,,112,1812,28002,23190,4491,,,4751,8834,8344,5174,,,,,8012,7499,887,1333,4142,45,3524,2373,6262,,,,,,,,,achaguas,apure,apure,apure,100,0,apure,achaguas,achaguas,100,,,,,,,,,,,,,False
29,Biruaca_Apure,2011,Venezuela,Apure,Biruaca,54323,27308,27015,49034,315,3374,51578,43503,7358,33741,2503,6402,17444,16102,9635,,,,,15604,12825,2860,3802,5881,272,8324,7897,12130,,,,,,,,,46538,23123,23415,,305,2592,44111,37691,5861,,,5044,13789,14397,9163,,,,,13374,11191,1955,3802,4001,96,6294,5871,10103,,,,,,,,,biruaca,apure,apure,apure,100,1,apure,biruaca,biruaca,100,,,,,,,,,,,,,False
30,Muñoz_Apure,2011,Venezuela,Apure,Muñoz,27542,14165,13377,22725,720,2404,26242,20364,5484,15507,2714,5072,9422,7042,3835,,,,,7131,6244,1747,871,3027,726,4430,3066,6391,,,,,,,,,16610,8370,8240,,19,1398,15836,13013,2529,,,2364,5107,4717,3168,,,,,4076,3861,356,871,1050,16,1616,683,3542,,,,,,,,,munoz,apure,apure,apure,100,2,apure,munoz,munoz,100,,,,,,,,,,,,,False
31,Paez_Apure,2011,Venezuela,Apure,Paez,100125,51834,48291,72870,493,2484,94119,77248,17060,60323,8249,15090,37854,26733,10654,,,,,28627,23028,4132,4844,14031,1327,24284,12694,25568,,,,,,,,,64182,31791,32391,,232,1567,60031,51251,9159,,,8034,20857,19579,9451,,,,,17593,15908,960,4844,4830,53,14272,3072,15284,,,,,,,,,paez,apure,apure,apure,100,3,apure,paez,paez,100,,,,,,,,,,,,,False
32,Pedro Camejo_Apure,2011,Venezuela,Apure,Pedro Camejo,28966,15103,13863,27665,2635,2406,27481,20406,6535,15351,3247,5943,11404,6394,2289,,,,,7409,6195,2134,803,5117,1005,6341,5210,6565,,,,,,,,,11796,5804,5992,,354,1129,10981,9083,1903,,,1696,3681,3584,1619,,,,,2927,2743,233,803,1155,14,2332,1226,2516,,,,,,,,,pedro camejo,apure,apure,apure,100,4,apure,pedro camejo,pedro camejo,100,,,,,,,,,,,,,False
33,Romulo Gallegos_Apure,2011,Venezuela,Apure,Romulo Gallegos,24418,12614,11804,21990,3556,1433,23282,16741,5925,12755,2959,5392,8508,5735,2478,,,,,6610,5716,1518,1146,2035,936,5461,2521,5843,,,,,,,,,14246,7116,7130,,265,989,13595,11093,2200,,,2090,4856,4183,2022,,,,,3741,3511,101,1146,86,10,3089,449,3323,,,,,,,,,romulo gallegos,apure,apure,apure,100,5,apure,romulo gallegos,romulo gallegos,100,,,,,,,,,,,,,False
34,San Fernando_Apure,2011,Venezuela,Apure,San Fernando,165135,81922,83213,150685,331,8351,157776,131914,22664,103866,7650,20057,47695,50632,31942,,,,,41546,34910,5501,11819,9497,1622,15685,12958,31677,,,,,,,,,147581,72323,75258,,324,7286,140593,120943,17355,,,15885,40146,47969,31339,,,,,36746,32180,2897,11819,5708,86,11348,8654,27304,,,,,,,,,san fernando,apure,apure,apure,100,6,apure,san fernando,san fernando,100,,,,,,,,,,,,,False
35,Bolivar_Aragua,2011,Venezuela,Aragua,Bolivar,38047,18997,19050,30774,18,1852,33790,32233,3763,26806,826,3464,12575,15208,3969,,,,,9808,8809,190,4738,1613,6,1145,132,8192,,,,,,,,,36771,18344,18427,,18,1813,32594,31204,3587,,,3292,12148,14703,3873,,,,,9445,8528,179,4738,1604,4,1064,111,7849,,,,,,,,,bolivar,aragua,aragua,aragua,100,0,aragua,bolivar,bolivar,100,,,,,,,,,,,,,False
36,Camatagua_Aragua,2011,Venezuela,Aragua,Camatagua,16627,8481,8146,9805,36,993,15048,13496,2277,10881,921,2070,5656,5819,1841,,,,,6011,5253,188,556,379,21,2268,970,4258,,,,,,,,,14000,6995,7005,,5,803,12688,11420,1848,,,1693,4644,4976,1674,,,,,4587,4053,122,556,30,5,1427,199,3319,,,,,,,,,camatagua,aragua,aragua,aragua,100,1,aragua,camatagua,camatagua,100,,,,,,,,,,,,,False
37,Girardot_Aragua,2011,Venezuela,Aragua,Girardot,407109,197976,209133,280131,461,10917,381941,359109,29761,311257,5709,28431,89058,157219,101385,,,,,130117,123344,281,62603,2985,43,9723,1842,72566,,,,,,,,,406937,197872,209065,,461,10904,381788,358999,29708,,,28406,88991,157183,101379,,,,,130148,123301,264,62603,2974,42,9664,1791,72506,,,,,,,,,girardot,aragua,aragua,aragua,100,2,aragua,girardot,girardot,100,,,,,,,,,,,,,False
38,Jose Ángel Lamas_Aragua,2011,Venezuela,Aragua,Jose Ángel Lamas,32981,16629,16352,24255,19,1090,30887,28798,2527,24538,579,2927,8182,12918,6161,,,,,9910,9435,39,4859,596,22,603,417,6261,,,,,,,,,32142,16158,15984,,18,1063,30086,28107,2427,,,2839,7834,12638,6113,,,,,9625,9191,38,4859,445,19,336,162,6004,,,,,,,,,jose angel lamas,aragua,aragua,aragua,100,3,aragua,jose angel lamas,jose angel lamas,100,,,,,,,,,,,,,False
39,Jose Felix Ribas_Aragua,2011,Venezuela,Aragua,Jose Felix Ribas,143501,70508,72993,105168,123,3765,131862,123740,12620,103858,2906,11813,41688,57082,23190,,,,,42934,36841,803,17342,6195,63,9636,2156,28831,,,,,,,,,138178,67711,70467,,115,3637,126912,119416,11905,,,11116,39583,55307,22803,,,,,40978,35323,677,17342,5286,45,8255,1287,27340,,,,,,,,,jose felix ribas,aragua,aragua,aragua,100,4,aragua,jose felix ribas,jose felix ribas,100,,,,,,,,,,,,,False
40,Jose Rafael Revenga_Aragua,2011,Venezuela,Aragua,Jose Rafael Revenga,48800,24410,24390,35138,17,1311,45709,41241,4932,33827,1384,4438,15758,19337,5470,,,,,15120,12809,327,6213,1825,45,2914,1088,10189,,,,,,,,,43720,21657,22063,,15,1199,40864,37223,4177,,,3785,13580,17762,5289,,,,,13025,11425,202,6213,1192,5,1593,259,8733,,,,,,,,,jose rafael revenga,aragua,aragua,aragua,100,5,aragua,jose rafael revenga,jose rafael revenga,100,,,,,,,,,,,,,False
41,Libertador_Aragua,2011,Venezuela,Aragua,Libertador,114355,55848,58507,82687,93,4023,108556,97181,10615,80255,1935,9734,29705,48247,18174,,,,,33519,26070,574,12209,8243,562,6833,4487,23849,,,,,,,,,113747,55517,58230,,93,4009,107981,96715,10514,,,9636,29444,48078,18149,,,,,33317,25914,566,12209,8126,562,6661,4310,23663,,,,,,,,,libertador,aragua,aragua,aragua,100,6,aragua,libertador,libertador,100,,,,,,,,,,,,,False
42,Mario Briceño Iragorry_Aragua,2011,Venezuela,Aragua,Mario Briceño Iragorry,99852,47471,52381,69431,62,2827,94058,89108,6528,78224,972,5978,19324,41324,27084,,,,,28950,28660,33,9668,892,9,946,59,14483,,,,,,,,,99847,47470,52377,,62,2827,94054,89103,6528,,,5978,19323,41321,27084,,,,,28956,28657,33,9668,892,9,945,59,14482,,,,,,,,,mario briceno iragorry,aragua,aragua,aragua,100,7,aragua,mario briceno iragorry,mario briceno iragorry,100,,,,,,,,,,,,,False
43,San Casimiro_Aragua,2011,Venezuela,Aragua,San Casimiro,25540,13024,12516,15861,29,842,23327,21128,2999,17395,1113,2768,9505,8461,2742,,,,,8531,7419,300,878,753,29,6656,1777,6608,,,,,,,,,18881,9510,9371,,15,648,17209,15818,2015,,,1877,6775,6444,2271,,,,,5970,5361,181,878,395,8,4602,516,4542,,,,,,,,,san casimiro,aragua,aragua,aragua,100,8,aragua,san casimiro,san casimiro,100,,,,,,,,,,,,,False
