,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,DPA_CANTON,DPA_DESCAN,DPA_VALOR,DPA_ANIO,DPA_PROVIN,DPA_DESPRO,SUPERFICIE,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
10,CHORDELEG_AZUAY,2010,Ecuador,AZUAY,CHORDELEG,12577,5821,6756,9394,19,184,734,9926,1397,7409,999,948,7517,1995,669,34,5636,98,5589,5590,4674,554,1510,1594,145,1760,756,3251,11780,4845,5784,6513,1641,382,12055,2450,4209,2004,2205,2496,1,95,234,3556,251,2842,144,196,1938,1095,509,32,1912,44,1851,1441,1302,26,337,210,15,139,52,1018,3953,1100,861,584,85,51,3792,183.0,chordeleg,azuay,azuay,azuay,100,10,azuay,chordeleg,chordeleg,100,0111,CHORDELEG,0.0,2001,01,AZUAY,105.83991633,chordeleg,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
11,EL PAN_AZUAY,2010,Ecuador,AZUAY,EL PAN,3036,1420,1616,2334,0,42,255,2506,302,1997,230,257,1820,506,161,2,1046,21,1741,2092,1831,82,441,404,38,514,362,938,3005,1111,1227,1531,159,83,3002,989,486,220,266,343,0,0,34,429,15,328,6,13,240,135,51,0,177,5,262,228,210,3,37,22,2,14,12,123,485,95,94,36,3,2,480,38.0,el pan,azuay,azuay,azuay,100,11,azuay,el pan,el pan,100,0112,EL PAN,0.0,2001,01,AZUAY,132.287982877,el pan,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
12,SEVILLA DE ORO_AZUAY,2010,Ecuador,AZUAY,SEVILLA DE ORO,5889,2942,2947,3995,47,86,441,4953,346,3881,225,332,3167,1280,462,18,2368,45,2886,2946,2602,127,509,755,57,857,951,1556,5453,1472,2714,2999,329,158,5480,3360,838,389,449,616,0,29,48,713,35,581,16,35,389,201,116,2,319,13,416,321,303,5,65,37,1,12,8,216,796,203,124,54,14,5,780,25.0,sevilla oro,azuay,azuay,azuay,100,12,azuay,sevilla oro,sevilla oro,100,0113,SEVILLA DE ORO,0.0,2001,01,AZUAY,315.173566735,sevilla oro,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
13,GUACHAPALA_AZUAY,2010,Ecuador,AZUAY,GUACHAPALA,3409,1560,1849,2190,10,55,277,2748,330,2140,242,275,1858,663,197,5,1228,29,1821,1659,1415,95,423,364,42,657,356,946,3160,1245,1285,2353,181,93,3326,1181,1125,530,595,682,7,34,100,930,95,722,72,88,546,279,98,2,406,17,602,448,415,12,123,63,12,82,28,304,1094,391,241,299,16,21,1069,79.0,guachapala,azuay,azuay,azuay,100,13,azuay,guachapala,guachapala,100,0114,GUACHAPALA,0.0,2001,01,AZUAY,39.5931852684,guachapala,azuay,0.0,1.0,846654806.58,215.60126354,692.668742221,True
14,GUARANDA_BOLIVAR,2010,Ecuador,BOLIVAR,GUARANDA,91877,44353,47524,79908,43177,667,5377,68265,13481,48663,10695,13125,38605,18502,9135,724,36504,1277,43965,33019,26421,5891,10661,13551,3134,15136,14217,22007,78989,39032,56188,63170,21814,10839,86910,59093,23874,11091,12783,19683,1773,356,1203,20754,1136,16537,749,1096,6856,7077,6307,622,10353,642,10895,8029,6919,78,1386,1063,67,451,377,5740,21354,4150,4043,1695,169,197,19882,1456.0,guaranda,bolivar,bolivar,bolivar,100,0,bolivar,guaranda,guaranda,100,,,,,,,,,,,,,,,False
15,CHILLANES_BOLIVAR,2010,Ecuador,BOLIVAR,CHILLANES,17406,8851,8555,13001,655,233,1302,13480,2201,9916,1637,1976,8936,3536,900,30,6370,223,9088,6083,4956,1527,2095,3180,771,3397,3028,4505,14689,7126,12681,13484,5833,2847,17012,12072,2681,1289,1392,2055,50,25,189,2260,219,1796,148,180,1000,755,505,17,1032,59,1388,971,883,14,270,145,23,110,52,778,2473,686,500,405,39,74,2498,158.0,chillanes,bolivar,bolivar,bolivar,100,1,bolivar,chillanes,chillanes,100,,,,,,,,,,,,,,,False
16,ECHEANDIA_BOLIVAR,2010,Ecuador,BOLIVAR,ECHEANDIA,12114,6149,5965,7218,532,215,704,9924,1139,7361,822,1100,5445,3377,1009,25,4484,205,6374,4476,3861,285,1150,1438,280,1709,1121,3251,10829,3571,5508,6492,888,948,11675,4174,6170,3050,3120,3807,276,133,359,5109,509,3817,358,502,2417,1869,740,20,2342,159,3117,2192,1928,36,577,286,65,292,35,1698,5533,1750,1095,1128,91,229,5834,122.0,echeandia,bolivar,bolivar,bolivar,100,3,bolivar,echeandia,echeandia,100,,,,,,,,,,,,,,,False
17,SAN MIGUEL_BOLIVAR,2010,Ecuador,BOLIVAR,SAN MIGUEL,27244,13225,14019,21915,1430,213,1717,22339,2418,17274,1769,2164,12335,5953,3935,192,9815,290,14652,9650,8757,1241,2732,4144,530,4403,4157,7026,25507,8701,16227,17059,4457,1813,26023,16149,6911,3189,3722,5097,83,88,353,5997,300,4844,168,260,1872,1844,2274,141,2773,127,3397,2401,2102,10,451,329,20,102,67,1825,6389,1208,1198,358,14,39,6170,220.0,san miguel,bolivar,bolivar,bolivar,100,4,bolivar,san miguel,san miguel,100,,,,,,,,,,,,,,,False
18,CALUMA_BOLIVAR,2010,Ecuador,BOLIVAR,CALUMA,13129,6509,6620,7428,296,198,810,10958,891,8367,611,806,5835,3540,1447,67,4808,197,6844,4728,4188,359,1241,1294,335,2042,1205,3449,12058,4109,4802,7635,1169,1065,12524,4480,6269,3073,3196,3211,121,143,387,5345,328,4152,212,326,2296,1953,1010,58,2396,154,3123,2340,2093,24,435,283,61,490,85,1655,5763,1319,1008,1776,40,149,5788,298.0,caluma,bolivar,bolivar,bolivar,100,5,bolivar,caluma,caluma,100,,,,,,,,,,,,,,,False
19,LAS NAVES_BOLIVAR,2010,Ecuador,BOLIVAR,LAS NAVES,6092,3135,2957,2515,83,270,315,4957,555,3668,380,493,2932,1495,383,10,2267,42,3203,1850,1508,202,433,909,139,1440,763,1530,5020,1443,3754,5765,699,510,5985,3174,1485,739,746,646,11,78,92,1267,97,972,65,97,622,434,196,7,600,13,751,493,443,10,132,115,13,319,11,406,1361,411,436,1186,14,41,1440,47.0,las naves,bolivar,bolivar,bolivar,100,6,bolivar,las naves,las naves,100,,,,,,,,,,,,,,,False
20,AZOGUES_CAÑAR,2010,Ecuador,CAÑAR,AZOGUES,70064,32088,37976,55939,1180,1183,3782,57720,5710,44844,4002,4790,31796,15196,10743,1041,27652,1106,34672,28318,24832,2402,5039,6001,466,7646,4687,16062,66260,15201,22145,28064,7244,1128,60221,16704,33848,15814,18034,26093,391,891,1842,28925,1824,23259,1012,1469,11356,9199,8274,927,13946,754,16049,10684,9914,199,1362,1323,53,1057,397,6665,31925,4093,5340,4074,513,136,25615,1468.0,azogues,canar,canar,canar,100,0,canar,azogues,azogues,100,,,,,,,,,,,,,,,False
21,BIBLIAN_CAÑAR,2010,Ecuador,CAÑAR,BIBLIAN,20817,9193,11624,15184,1083,181,1179,16040,2735,12341,2205,2253,10819,3537,1747,94,7869,272,10634,9624,8314,995,1707,2078,120,3636,3089,5664,19957,4865,7447,13118,2856,273,19967,10833,5493,2498,2995,3536,123,120,337,4654,332,3725,217,271,2209,1469,951,79,2142,109,2735,2145,2021,42,363,200,9,181,91,1468,5336,1016,725,663,89,28,5002,263.0,biblian,canar,canar,canar,100,1,canar,biblian,biblian,100,,,,,,,,,,,,,,,False
22,CAÑAR_CAÑAR,2010,Ecuador,CAÑAR,CAÑAR,59323,27370,31953,49545,23153,409,3694,44970,8362,31926,6742,7949,29899,9836,4689,331,22390,496,30446,22486,19200,4168,4538,7214,896,10007,9509,14329,54303,15093,29176,40054,15113,2843,56728,37906,13407,6269,7138,10489,1910,110,741,11439,772,8867,492,655,4885,3487,3095,277,5439,176,6596,4109,3824,85,590,363,26,391,159,2927,12677,1942,1546,1639,216,106,11777,635.0,canar,canar,canar,canar,100,2,canar,canar,canar,100,,,,,,,,,,,,,,,False
23,LA TRONCAL_CAÑAR,2010,Ecuador,CAÑAR,LA TRONCAL,54389,27320,27069,17219,516,4087,3173,43897,4253,32857,2724,3756,25231,14411,3904,201,20021,779,27350,17997,14409,754,3522,5112,514,7299,1561,13057,45671,12337,21212,30424,2442,1856,50730,6144,35259,17515,17744,11137,423,2836,2007,28621,2526,21428,1554,2277,15648,9930,2872,170,13041,596,17510,11865,9259,269,2300,2694,270,3203,356,8453,28996,8039,11190,13640,746,995,32527,1311.0,la troncal,canar,canar,canar,100,3,canar,la troncal,la troncal,100,,,,,,,,,,,,,,,False
24,EL TAMBO_CAÑAR,2010,Ecuador,CAÑAR,EL TAMBO,9475,4364,5111,6738,4290,32,550,7408,1098,5217,880,1084,4247,2299,769,24,3284,109,5113,3559,3072,357,619,861,105,1125,988,2300,8831,1911,3299,4291,1195,331,9019,3697,4674,2195,2479,2689,1222,29,262,3836,352,2851,258,332,1924,1315,559,21,1660,73,2455,1605,1490,42,222,160,35,169,104,1089,4488,688,635,652,109,121,4372,390.0,el tambo,canar,canar,canar,100,4,canar,el tambo,el tambo,100,,,,,,,,,,,,,,,False
25,DELEG_CAÑAR,2010,Ecuador,CAÑAR,DELEG,6100,2629,3471,4124,142,52,465,4609,928,3629,787,762,3440,945,241,9,2396,66,3075,4616,3861,389,821,876,115,1735,1208,2054,5812,1741,2458,5074,886,213,5940,3324,578,229,349,325,9,7,35,484,51,396,40,47,228,167,78,7,227,9,299,301,288,6,54,22,1,33,19,182,570,110,60,112,13,3,548,53.0,deleg,canar,canar,canar,100,5,canar,deleg,deleg,100,0306,DELEG,0.0,2001,03,CAÑAR,76.1697995159,deleg,canar,0.0,1.0,846654806.58,215.60126354,692.668742221,True
26,SUSCAL_CAÑAR,2010,Ecuador,CAÑAR,SUSCAL,5016,2271,2745,4149,3849,8,370,3306,1227,2179,1095,1162,2318,677,185,5,1892,44,2597,1839,1639,377,539,826,125,1007,944,1313,4642,1708,3089,3772,1181,304,4954,3519,1266,586,680,805,582,7,138,986,181,714,151,180,529,323,129,5,491,19,657,422,406,13,89,49,4,53,14,315,1254,263,212,196,32,6,1235,59.0,suscal,canar,canar,canar,100,6,canar,suscal,suscal,100,,,,,,,,,,,,,,,False
27,TULCAN_CARCHI,2010,Ecuador,CARCHI,TULCAN,86498,42584,43914,65736,4608,3084,4372,72504,5692,56913,3294,4081,40412,22531,9917,558,36020,1448,40728,25495,21585,1125,6162,6386,756,4374,3992,21184,73972,21250,26107,18582,4255,3459,79338,16918,53558,25957,27601,41963,1117,2365,2538,46419,2372,37059,1181,1660,20930,17014,8582,518,23640,1168,23983,15726,13669,65,2607,1684,60,295,189,13291,46776,7611,6282,1125,94,185,47197,739.0,tulcan,carchi,carchi,carchi,100,0,carchi,tulcan,tulcan,100,,,,,,,,,,,,,,,False
28,BOLIVAR_CARCHI,2010,Ecuador,CARCHI,BOLIVAR,14347,7166,7181,7669,103,2588,1117,11856,1125,9131,754,920,8420,2883,664,21,5488,172,7321,5250,4619,458,1480,2121,88,1549,1488,4034,13121,4096,7631,5417,1369,214,14013,4826,2998,1499,1499,1548,18,57,214,2602,141,2108,84,127,1591,707,285,10,1191,58,1494,1009,931,11,246,213,5,112,104,864,2829,598,733,387,12,15,2895,318.0,bolivar,carchi,carchi,carchi,100,1,carchi,bolivar,bolivar,100,,,,,,,,,,,,,,,False
29,ESPEJO_CARCHI,2010,Ecuador,CARCHI,ESPEJO,13364,6527,6837,10409,132,185,999,11205,982,8730,642,809,6815,3218,1238,39,4804,174,7209,4653,4232,294,1365,1362,57,833,878,3596,12441,4119,5075,3017,833,145,12906,3181,4497,2153,2344,3271,58,76,281,3883,239,3055,140,206,1763,1356,773,28,1765,72,2285,1396,1278,26,289,213,10,70,70,1158,4126,832,823,240,70,33,4156,254.0,espejo,carchi,carchi,carchi,100,2,carchi,espejo,espejo,100,,,,,,,,,,,,,,,False
30,MIRA_CARCHI,2010,Ecuador,CARCHI,MIRA,12180,6121,6059,7600,324,3895,917,9974,1219,7646,857,994,6849,2234,995,34,4750,145,6298,4337,3626,434,1216,1737,121,1144,1445,3177,10956,3869,6842,4521,1640,437,11715,5618,3096,1494,1602,1685,17,66,188,2765,125,2290,67,115,1258,795,703,24,1358,62,1470,1084,1002,13,227,150,4,24,59,862,2889,518,490,69,17,6,2714,179.0,mira,carchi,carchi,carchi,100,3,carchi,mira,mira,100,,,,,,,,,,,,,,,False
31,MONTUFAR_CARCHI,2010,Ecuador,CARCHI,MONTUFAR,30511,14910,15601,21438,376,676,1565,25691,1947,20154,1243,1338,16631,6359,3098,132,12264,298,15076,9886,8573,341,2352,3337,86,2776,2955,7891,27462,6746,12766,10547,867,208,29112,11196,14487,6997,7490,10451,305,485,669,12373,783,9799,460,559,6450,3685,2366,123,6213,228,6715,4160,3620,29,917,652,16,194,194,3651,12833,2553,2455,676,55,37,13308,676.0,montufar,carchi,carchi,carchi,100,4,carchi,montufar,montufar,100,,,,,,,,,,,,,,,False
32,SAN PEDRO DE HUACA_CARCHI,2010,Ecuador,CARCHI,SAN PEDRO DE HUACA,7624,3847,3777,4681,106,134,414,6480,487,5022,304,305,4430,1608,558,16,2986,109,3872,2359,2148,72,526,939,32,619,336,1921,7261,1558,3670,2319,170,79,7281,1242,3859,1937,1922,2081,74,99,196,3300,224,2554,139,155,2008,932,389,13,1566,72,1886,1090,1033,17,241,323,9,108,41,955,3724,729,1258,408,37,28,3607,148.0,san pedro huaca,carchi,carchi,carchi,100,5,carchi,san pedro huaca,san pedro huaca,100,,,,,,,,,,,,,,,False
33,LATACUNGA_COTOPAXI,2010,Ecuador,COTOPAXI,LATACUNGA,170489,82301,88188,135646,14549,2575,8113,138937,14979,106983,10864,12770,73477,41238,24184,1552,71794,2276,79846,57949,47074,3952,11609,18901,1794,19740,16345,39848,148809,38894,77145,80506,13254,5792,155394,66254,63842,30582,33260,45851,3233,1389,2630,55343,2904,44574,1589,2319,19895,18175,17159,1391,28898,1261,28088,21687,18308,184,2173,2549,98,960,679,14918,55889,6418,9893,3755,486,318,53555,2687.0,latacunga,cotopaxi,cotopaxi,cotopaxi,100,0,cotopaxi,latacunga,latacunga,100,,,,,,,,,,,,,,,False
34,LA MANA_COTOPAXI,2010,Ecuador,COTOPAXI,LA MANA,42216,21420,20796,19797,746,2504,2166,33511,4038,24946,2757,3913,20366,9740,2684,133,16214,687,20648,13730,8831,802,3822,5184,645,9675,2670,10808,29501,13427,20717,37462,2753,2463,40664,11153,23775,11861,11914,10793,446,1951,1246,19280,1873,14713,1174,1768,10758,6079,2010,120,9614,492,11047,7846,4617,110,1940,2096,106,5436,144,6332,15455,6385,7814,19975,248,359,22467,547.0,la mana,cotopaxi,cotopaxi,cotopaxi,100,1,cotopaxi,la mana,la mana,100,,,,,,,,,,,,,,,False
35,PANGUA_COTOPAXI,2010,Ecuador,COTOPAXI,PANGUA,21965,11340,10625,13335,2195,329,1331,16600,2900,11979,2105,2585,11607,4134,785,28,9094,111,10295,7902,4800,1789,2490,3904,1036,4652,4532,5499,14647,9048,15928,18921,6855,3817,21597,18441,1649,788,861,1288,50,56,127,1374,133,1072,83,130,695,414,233,17,746,37,724,718,565,10,171,79,6,50,16,480,1334,467,294,186,27,19,1508,56.0,pangua,cotopaxi,cotopaxi,cotopaxi,100,2,cotopaxi,pangua,pangua,100,,,,,,,,,,,,,,,False
36,PUJILI_COTOPAXI,2010,Ecuador,COTOPAXI,PUJILI,69055,32736,36319,59386,35756,383,3492,48316,12988,32814,10532,12100,31701,11486,4593,212,27207,693,33404,25228,17214,5698,8414,11913,2491,13156,12999,16268,52779,31544,50199,55456,22570,8567,66957,54660,10064,4774,5290,6820,1097,171,413,8510,556,6616,315,493,3386,2618,2460,155,4045,175,4846,3330,2737,40,564,559,55,234,128,2313,8706,1869,2367,965,117,209,8770,507.0,pujili,cotopaxi,cotopaxi,cotopaxi,100,3,cotopaxi,pujili,pujili,100,,,,,,,,,,,,,,,False
37,SALCEDO_COTOPAXI,2010,Ecuador,COTOPAXI,SALCEDO,58216,27880,30336,46171,16250,617,2948,46708,6132,35934,4694,5496,28766,12280,5394,234,24983,663,27194,21534,17028,2342,5555,8605,931,9763,7971,14734,50971,18026,32701,37422,7224,2890,55102,29987,12488,5951,6537,7484,599,323,649,10795,581,8652,335,510,4115,3872,2755,166,5461,235,5680,4305,3741,32,549,568,34,150,90,3041,11199,1565,2103,544,82,91,10675,283.0,salcedo,cotopaxi,cotopaxi,cotopaxi,100,4,cotopaxi,salcedo,salcedo,100,,,,,,,,,,,,,,,False
38,SAQUISILI_COTOPAXI,2010,Ecuador,COTOPAXI,SAQUISILI,25320,11957,13363,21921,11994,234,1212,18667,3764,13095,2977,3599,12004,4830,1728,59,10386,259,11786,8367,5749,1178,2648,3481,578,3984,3773,5680,19937,10384,15353,17915,4550,1966,24381,17031,7205,3408,3797,4904,716,204,381,6002,461,4606,286,500,2626,2064,1191,53,2996,151,3316,2200,1720,101,442,552,48,316,172,1657,6005,1433,2199,1367,312,163,6468,758.0,saquisili,cotopaxi,cotopaxi,cotopaxi,100,5,cotopaxi,saquisili,saquisili,100,,,,,,,,,,,,,,,False
39,SIGCHOS_COTOPAXI,2010,Ecuador,COTOPAXI,SIGCHOS,21944,10991,10953,19035,8947,171,1836,15039,4135,9934,3244,3817,10942,3050,537,11,9310,152,9712,8071,5274,1505,2646,4116,884,4301,4338,5163,15632,10263,17687,18759,5847,3307,21556,18864,1947,960,987,1557,57,53,177,1540,183,1144,129,178,887,476,154,5,803,25,895,818,699,24,188,212,33,83,65,558,1771,513,692,253,52,105,1841,190.0,sigchos,cotopaxi,cotopaxi,cotopaxi,100,6,cotopaxi,sigchos,sigchos,100,,,,,,,,,,,,,,,False
