,nombre_completo_censo,año,ADM0NAME,ADM1NAME,ADM2NAME,poblacion,hombre,mujer,nacio_aqui,indigena,Afrodescendiente,discapacitado,alfabeto_si,alfabeto_no,alfabeto_si_15_o_mas,alfabeto_no_15_o_mas,sin_escolaridad_o_preescolar,primaria,secundaria,terciaria,posgrado,Ocupado,desocupado,inactivo,cantidad_de_viviendas,casa_o_departamento,viviendas_sin_bano,viviendas_sin_celular,viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,viviendas_sin_electricidad,vivirendas_sin_alcantarillado,viviendas_sin_servicio_de_basura,viviendas_sin_internet,personas_en_casa_o_depto,personas_sin_cel,personas_sin_agua_por_caneria,personas_sin_alcantarillado,personas_sin_bano,personas_sin_electricidad,personas_sin_internet,personas_sin_servicio_basura,urb_poblacion,urb_hombre,urb_mujer,urb_nacio_aqui,urb_indigena,urb_Afrodescendiente,urb_discapacitado,urb_alfabeto_si,urb_alfabeto_no,urb_alfabeto_si_15_o_mas,urb_alfabeto_no_15_o_mas,urb_sin_escolaridad_o_preescolar,urb_primaria,urb_secundaria,urb_terciaria,urb_posgrado,urb_Ocupado,urb_desocupado,urb_inactivo,urb_cantidad_de_viviendas,urb_casa_o_departamento,urb_viviendas_sin_bano,urb_viviendas_sin_celular,urb_viviendas_sin_agua_por_caneria_dentro_de_la_vivienda,urb_viviendas_sin_electricidad,urb_vivirendas_sin_alcantarillado,urb_viviendas_sin_servicio_de_basura,urb_viviendas_sin_internet,urb_personas_en_casa_o_depto,urb_personas_sin_cel,urb_personas_sin_agua_por_caneria,urb_personas_sin_alcantarillado,urb_personas_sin_bano,urb_personas_sin_electricidad,urb_personas_sin_internet,urb_personas_sin_servicio_basura,Ciudad_norm_x,Estado_norm_x,estado_censo,estado_gdf,similitud_estado,indice,Estado_censo,nombre_censo,nombre_gdf,similitud,estado,ciudad,latitud,longitud,detalles,Ciudad_norm_y,Estado_norm_y,index_right,limraisg,area_sig_h,shape_Leng,shape_Area,Amazonas
10,ANTIOQUIA-SANTAFE DE ANTIOQUIA,2018,Colombia,ANTIOQUIA,SANTAFE DE ANTIOQUIA,23216,11537,11679,,24,705,1621,19578,2013,16465,1588,2087,8300,8569,2411,203,9367,818,9393,11596,11377,206,,,135,2106,1971,5434,22582,,2347,6860,589,375,15951,6434,15528,7485,8043,,18,684,1004,13468,944,11592,727,1049,4521,6404,2247,192,6378,760,5964,7864,7660,17,,,69,83,38,3183,14922,,80,222,25,153,8660,85.0,santafe antioquia,antioquia,antioquia,antioquia,100,10,antioquia,santafe antioquia,santafe antioquia,100,,,,,,,,,,,,,False
11,ANTIOQUIA-ANZA,2018,Colombia,ANTIOQUIA,ANZA,6388,3304,3084,,2,22,718,5020,881,4108,742,854,2951,1834,228,24,2546,79,2761,2972,2883,26,,,75,1376,1366,2023,6282,,1655,4366,59,210,6184,4338,1180,587,593,,1,2,183,977,123,842,108,116,422,418,129,11,487,31,503,544,508,0,,,2,9,3,394,1144,,5,22,0,5,1017,6.0,anza,antioquia,antioquia,antioquia,100,11,antioquia,anza,anza,100,,,,,,,,,,,,,False
12,ANTIOQUIA-APARTADO,2018,Colombia,ANTIOQUIA,APARTADO,113469,55847,57622,,810,42854,7833,96715,6896,78406,4507,7636,30425,49329,14894,1270,43346,4129,45347,40234,36670,768,,,216,3921,1540,20046,105210,,9077,13287,2584,595,63150,4791,91811,44453,47358,,240,32237,6858,78903,5079,64372,3191,5612,23239,40265,13522,1190,36029,3473,36651,33122,30244,54,,,95,1034,161,14826,86215,,2725,3524,145,262,46097,432.0,apartado,antioquia,antioquia,antioquia,100,12,antioquia,apartado,apartado,100,,,,,,,,,,,,,False
13,ANTIOQUIA-ARBOLETES,2018,Colombia,ANTIOQUIA,ARBOLETES,26289,13224,13065,,958,7100,2298,20831,3141,16041,2412,3144,8841,9967,1850,136,7515,875,12977,8442,8319,1864,,,104,4688,4101,6633,26000,,11072,17480,7123,286,24156,15292,9623,4519,5104,,131,3180,892,8053,778,6503,615,815,2326,4104,1460,107,3057,564,4398,3281,3231,13,,,27,277,78,2368,9494,,249,948,34,87,8187,210.0,arboletes,antioquia,antioquia,antioquia,100,13,antioquia,arboletes,arboletes,100,,,,,,,,,,,,,False
14,ANTIOQUIA-ARGELIA,2018,Colombia,ANTIOQUIA,ARGELIA,6752,3494,3258,,2,57,588,5567,665,4491,498,570,3127,2219,269,34,2519,106,2945,3279,3218,19,,,49,1285,1160,2055,6676,,2439,4177,51,131,6209,3815,2992,1426,1566,,2,47,385,2534,240,2093,171,217,1208,1072,233,33,1040,94,1360,1682,1641,1,,,11,156,32,921,2949,,249,431,1,32,2453,72.0,argelia,antioquia,antioquia,antioquia,100,14,antioquia,argelia,argelia,100,,,,,,,,,,,,,False
15,ANTIOQUIA-ARMENIA,2018,Colombia,ANTIOQUIA,ARMENIA,3819,1912,1907,,3,7,344,3009,631,2584,560,621,1726,1105,160,21,1398,87,1894,2085,2047,8,,,26,707,428,1250,3778,,1051,2000,9,48,3471,1173,1359,651,708,,0,5,219,1145,164,1010,146,155,533,479,125,15,504,64,666,661,639,0,,,2,23,4,400,1336,,6,73,0,5,1041,7.0,armenia,antioquia,antioquia,antioquia,100,15,antioquia,armenia,armenia,100,,,,,,,,,,,,,False
16,ANTIOQUIA-BARBOSA,2018,Colombia,ANTIOQUIA,BARBOSA,44757,22208,22549,,20,230,3253,39629,2648,34360,2051,2555,15087,18829,5401,317,19239,1628,18461,19220,18947,22,,,82,7475,3474,10825,44234,,11512,19911,48,210,28580,8879,21579,10180,11399,,7,154,1590,19430,899,16910,658,911,5771,9520,3819,250,8830,952,9130,7809,7686,2,,,33,459,147,3434,21287,,957,1236,2,97,9131,437.0,barbosa,antioquia,antioquia,antioquia,100,16,antioquia,barbosa,barbosa,100,,,,,,,,,,,,,False
17,ANTIOQUIA-BELMIRA,2018,Colombia,ANTIOQUIA,BELMIRA,5349,2719,2630,,1,2098,479,4574,408,3763,292,344,2212,2062,327,25,2105,38,2388,2295,2261,9,,,23,948,727,1285,5317,,2277,3427,24,56,4427,2632,1602,781,821,,0,168,121,1414,82,1195,62,94,502,716,163,16,669,19,700,581,564,1,,,6,8,5,281,1580,,31,25,1,15,838,12.0,belmira,antioquia,antioquia,antioquia,100,17,antioquia,belmira,belmira,100,,,,,,,,,,,,,False
18,ANTIOQUIA-BELLO,2018,Colombia,ANTIOQUIA,BELLO,481901,232004,249897,,303,9272,30860,433513,14491,378761,7986,17529,108665,212749,101075,7518,203118,24501,186483,175988,172547,152,,,1321,11435,4674,56739,472211,,31378,34861,345,3948,160548,13504,461138,221625,239513,,287,8221,29904,416091,12908,364421,7044,16119,101610,203971,99476,7371,195923,23328,177769,167362,164145,134,,,1234,6740,3377,50851,451730,,20116,20975,308,3697,142918,9728.0,bello,antioquia,antioquia,antioquia,100,18,antioquia,bello,bello,100,,,,,,,,,,,,,False
19,ANTIOQUIA-BETANIA,2018,Colombia,ANTIOQUIA,BETANIA,8589,4477,4112,,32,64,819,6947,1079,5784,826,1054,4026,2472,425,35,3258,90,3983,3656,3579,11,,,47,1408,1373,2234,8493,,3956,5001,20,158,7397,4837,3400,1691,1709,,1,56,496,2816,378,2384,291,341,1333,1156,320,33,1311,70,1528,1364,1328,5,,,14,23,15,780,3343,,15,83,8,49,2253,40.0,betania,antioquia,antioquia,antioquia,100,19,antioquia,betania,betania,100,,,,,,,,,,,,,False
20,ANTIOQUIA-BETULIA,2018,Colombia,ANTIOQUIA,BETULIA,15097,7757,7340,,27,71,1484,11735,2212,9566,1713,1841,7066,4456,490,47,5904,101,6658,6633,6504,28,,,124,2847,2871,4153,14913,,4349,9520,58,358,13275,9573,4191,2000,2191,,2,56,695,3396,506,2847,387,443,1563,1530,305,35,1702,45,1831,1718,1665,6,,,30,175,29,1002,4099,,142,557,7,61,2829,66.0,betulia,antioquia,antioquia,antioquia,100,20,antioquia,betulia,betulia,100,,,,,,,,,,,,,False
21,ANTIOQUIA-CIUDAD BOLIVAR,2018,Colombia,ANTIOQUIA,CIUDAD BOLIVAR,23361,11682,11679,,255,191,2729,19357,2551,16415,1947,2439,9564,8046,1641,177,9230,493,10175,9375,9087,33,,,67,2533,1593,5465,22739,,5305,8935,64,165,17113,5672,14762,7166,7596,,10,153,1920,12458,1399,10769,1060,1328,5283,5623,1450,164,5978,436,6188,5914,5687,18,,,22,537,33,3123,14224,,105,1805,28,48,8892,73.0,ciudad bolivar,antioquia,antioquia,antioquia,100,21,antioquia,ciudad bolivar,ciudad bolivar,100,,,,,,,,,,,,,False
22,ANTIOQUIA-BRICEÑO,2018,Colombia,ANTIOQUIA,BRICEÑO,5946,3071,2875,,3,30,1024,4685,788,3603,556,859,2725,1501,367,19,2001,82,2788,2646,2581,27,,,94,939,964,1839,5855,,2639,2988,59,249,5768,3122,2456,1157,1299,,1,27,460,1982,257,1554,175,285,875,738,321,18,808,60,1144,1083,1037,4,,,7,30,9,763,2386,,172,82,7,13,2286,22.0,briceno,antioquia,antioquia,antioquia,100,22,antioquia,briceno,briceno,100,,,,,,,,,,,,,False
23,ANTIOQUIA-BURITICA,2018,Colombia,ANTIOQUIA,BURITICA,7409,3875,3534,,0,27,345,5991,818,4875,606,771,3332,2409,261,28,2562,233,3301,2851,2713,189,,,35,1148,1326,1951,7216,,1202,4081,594,89,6628,4618,2040,1008,1032,,0,16,94,1761,116,1497,73,106,675,887,184,20,830,81,800,854,763,1,,,5,7,16,454,1967,,2,19,1,14,1400,41.0,buritica,antioquia,antioquia,antioquia,100,23,antioquia,buritica,buritica,100,,,,,,,,,,,,,False
24,ANTIOQUIA-CACERES,2018,Colombia,ANTIOQUIA,CACERES,26460,13794,12666,,1674,594,2422,19589,4071,14409,2996,4001,10467,8305,761,62,8126,583,11916,9432,9103,1351,,,981,4204,3367,6987,25436,,16809,14258,4539,2821,24191,11078,5264,2625,2639,,348,307,739,4183,655,3139,475,712,2014,1771,298,21,1550,81,2629,1992,1891,53,,,65,627,175,1250,5056,,439,2369,165,214,4435,621.0,caceres,antioquia,antioquia,antioquia,100,24,antioquia,caceres,caceres,100,,,,,,,,,,,,,False
25,ANTIOQUIA-CAICEDO,2018,Colombia,ANTIOQUIA,CAICEDO,7018,3536,3482,,1,16,972,5626,829,4552,634,718,3371,2001,313,44,2646,53,3136,3135,2971,81,,,82,1679,1670,2046,6804,,1712,5512,218,239,6509,5489,1510,685,825,,1,13,157,1297,90,1098,57,97,465,566,217,38,542,29,672,757,709,0,,,2,27,16,390,1466,,9,85,0,2,1068,48.0,caicedo,antioquia,antioquia,antioquia,100,25,antioquia,caicedo,caicedo,100,,,,,,,,,,,,,False
26,ANTIOQUIA-CALDAS,2018,Colombia,ANTIOQUIA,CALDAS,76260,36587,39673,,49,408,8854,69479,2600,61808,1824,3044,20822,33529,13583,932,33704,2860,31131,26536,26133,31,,,69,2794,699,8740,75272,,3585,8801,72,174,24034,2077,61504,29053,32451,,6,337,6300,56654,1551,50643,1066,2162,15572,27475,11996,859,27463,2385,25100,20759,20545,9,,,35,331,72,5610,61062,,344,1096,25,95,14953,191.0,caldas,antioquia,antioquia,antioquia,100,26,antioquia,caldas,caldas,100,,,,,,,,,,,,,False
27,ANTIOQUIA-CAMPAMENTO,2018,Colombia,ANTIOQUIA,CAMPAMENTO,7432,3835,3597,,0,22,971,5817,1067,4582,818,989,3772,1835,254,24,2767,61,3316,3095,3027,61,,,115,1426,1429,2009,7342,,3614,5176,184,379,6818,5170,2358,1109,1249,,0,22,162,1917,261,1577,207,230,874,826,216,24,869,42,1033,960,911,2,,,8,54,47,617,2288,,30,176,3,17,1763,134.0,campamento,antioquia,antioquia,antioquia,100,27,antioquia,campamento,campamento,100,,,,,,,,,,,,,False
28,ANTIOQUIA-CAÑASGORDAS,2018,Colombia,ANTIOQUIA,CAÑASGORDAS,13595,6882,6713,,3,45,950,11233,1392,9242,1132,1291,5444,5118,658,92,4644,743,5990,5354,5257,162,,,126,2614,2580,3971,13391,,4762,8529,420,314,12271,8404,4765,2248,2517,,3,30,437,4086,305,3428,223,291,1393,2170,462,65,1823,253,1893,2020,1971,5,,,18,202,30,1265,4658,,381,618,5,41,3487,59.0,canasgordas,antioquia,antioquia,antioquia,100,28,antioquia,canasgordas,canasgordas,100,,,,,,,,,,,,,False
29,ANTIOQUIA-CARACOLI,2018,Colombia,ANTIOQUIA,CARACOLI,3967,2007,1960,,0,12,458,3319,407,2845,331,386,1744,1294,260,30,1694,57,1662,2099,2061,23,,,29,881,513,1282,3928,,727,2415,51,65,3394,1424,2443,1163,1280,,0,12,160,2069,223,1793,180,198,942,875,239,27,1049,46,998,1156,1139,0,,,4,352,16,744,2417,,107,919,0,5,1880,27.0,caracoli,antioquia,antioquia,antioquia,100,29,antioquia,caracoli,caracoli,100,,,,,,,,,,,,,False
30,ANTIOQUIA-CARAMANTA,2018,Colombia,ANTIOQUIA,CARAMANTA,4269,2148,2121,,1,15,476,3711,348,3143,277,292,2049,1441,233,37,1640,31,2092,2076,2063,3,,,16,443,774,1337,4245,,962,1374,6,52,3774,2332,1946,892,1054,,1,10,200,1732,131,1497,102,111,692,821,198,36,722,24,997,1001,992,1,,,1,23,9,568,1926,,5,74,1,1,1457,20.0,caramanta,antioquia,antioquia,antioquia,100,30,antioquia,caramanta,caramanta,100,,,,,,,,,,,,,False
31,ANTIOQUIA-CAREPA,2018,Colombia,ANTIOQUIA,CAREPA,45936,22989,22947,,68,11371,1883,37721,3548,29564,2481,3383,13927,19796,3748,288,15732,1311,19653,16668,15800,251,,,301,2606,797,10975,43725,,8505,9219,857,1022,35935,2688,31636,15382,16254,,38,10268,1605,26767,2062,21219,1479,2254,8828,14224,3149,265,11133,1153,13484,11995,11300,51,,,183,557,222,7350,30328,,1538,1877,163,613,23160,640.0,carepa,antioquia,antioquia,antioquia,100,31,antioquia,carepa,carepa,100,,,,,,,,,,,,,False
32,ANTIOQUIA-EL CARMEN DE VIBORAL,2018,Colombia,ANTIOQUIA,EL CARMEN DE VIBORAL,53949,26712,27237,,28,156,7181,47047,3136,40392,1972,2813,16465,22643,7454,735,24303,1220,20618,21854,21399,35,,,68,5449,1425,9767,52874,,3208,17913,98,203,30789,4718,32937,15916,17021,,19,118,4403,29350,1434,25435,807,1406,8329,14772,5695,529,15174,918,12453,12023,11872,17,,,5,147,18,5094,32623,,36,496,56,9,15574,54.0,el carmen viboral,antioquia,antioquia,antioquia,100,32,antioquia,el carmen viboral,el carmen viboral,100,,,,,,,,,,,,,False
33,ANTIOQUIA-CAROLINA,2018,Colombia,ANTIOQUIA,CAROLINA,3343,1646,1697,,8,38,226,2959,223,2601,188,197,1054,1455,403,62,1200,186,1557,1727,1685,7,,,8,215,114,910,3292,,474,607,12,38,2314,327,2642,1258,1384,,6,35,206,2356,161,2071,134,145,789,1164,350,58,934,153,1223,1287,1248,5,,,4,21,4,672,2594,,8,67,10,19,1670,9.0,carolina,antioquia,antioquia,antioquia,100,33,antioquia,carolina,carolina,100,,,,,,,,,,,,,False
34,ANTIOQUIA-CAUCASIA,2018,Colombia,ANTIOQUIA,CAUCASIA,84717,41026,43691,,1077,3442,4234,69877,6984,55395,5040,7431,25249,34381,8884,816,30508,3884,34121,30599,28895,940,,,242,4568,2933,18175,80816,,11781,16145,3346,670,62257,10250,74332,35570,38762,,311,1451,3857,62062,5515,49622,3884,5993,21154,30894,8657,790,27379,3532,29556,26399,25047,97,,,98,1988,1026,15282,71346,,4331,7071,308,266,52184,3525.0,caucasia,antioquia,antioquia,antioquia,100,34,antioquia,caucasia,caucasia,100,,,,,,,,,,,,,False
35,ANTIOQUIA-CHIGORODO,2018,Colombia,ANTIOQUIA,CHIGORODO,55564,26887,28677,,2220,27532,3485,45305,5409,35699,3767,5233,16911,23737,4317,306,19088,2616,23462,19561,18077,763,,,312,2684,1484,12675,51949,,11679,9836,3090,1192,42661,5544,46545,22225,24320,,93,25567,2924,38674,3960,30801,2722,3762,13609,20712,4066,289,16299,2413,19419,16588,15636,81,,,123,482,140,10249,44921,,3771,1680,253,333,33730,384.0,chigorodo,antioquia,antioquia,antioquia,100,35,antioquia,chigorodo,chigorodo,100,,,,,,,,,,,,,False
36,ANTIOQUIA-CISNEROS,2018,Colombia,ANTIOQUIA,CISNEROS,8910,4270,4640,,6,110,1033,7892,468,6732,373,513,3175,3729,823,92,3025,485,4142,3950,3877,13,,,15,1091,457,2247,8795,,3054,3201,35,22,6205,1342,7707,3644,4063,,6,109,988,6848,365,5830,290,420,2588,3304,784,91,2601,457,3527,3214,3148,9,,,12,798,115,1890,7595,,2359,2336,19,17,5128,313.0,cisneros,antioquia,antioquia,antioquia,100,36,antioquia,cisneros,cisneros,100,,,,,,,,,,,,,False
37,ANTIOQUIA-COCORNA,2018,Colombia,ANTIOQUIA,COCORNA,14743,7283,7460,,0,85,2423,12127,1481,10085,1167,1401,6477,4733,841,113,4884,744,6606,8536,8283,28,,,121,2832,2087,4578,14497,,4962,8491,77,314,13206,6232,5966,2694,3272,,0,77,1011,5035,458,4226,355,449,2173,2107,657,94,2171,215,2520,3289,3189,3,,,13,31,9,1702,5858,,253,91,7,36,4563,13.0,cocorna,antioquia,antioquia,antioquia,100,37,antioquia,cocorna,cocorna,100,,,,,,,,,,,,,False
38,ANTIOQUIA-CONCEPCION,2018,Colombia,ANTIOQUIA,CONCEPCION,3936,2023,1913,,0,12,279,3393,303,2909,238,275,1763,1311,306,26,1585,35,1766,2676,2642,4,,,13,732,711,1202,3872,,1973,2151,11,26,3349,2086,1774,842,932,,0,10,199,1562,106,1355,75,100,612,667,253,21,721,31,795,998,973,0,,,2,27,9,479,1730,,39,78,0,5,1225,21.0,concepcion,antioquia,antioquia,antioquia,100,38,antioquia,concepcion,concepcion,100,,,,,,,,,,,,,False
39,ANTIOQUIA-CONCORDIA,2018,Colombia,ANTIOQUIA,CONCORDIA,16095,8022,8073,,0,61,1949,12595,2481,10599,2059,2288,7134,4900,652,71,5539,173,8273,6885,6688,17,,,34,2432,2592,4607,15719,,6452,8073,35,95,14128,8553,6804,3171,3633,,0,54,901,5623,797,4865,651,721,2545,2491,574,68,2067,133,3807,2888,2770,4,,,18,26,20,1832,6604,,136,83,12,49,4974,52.0,concordia,antioquia,antioquia,antioquia,100,39,antioquia,concordia,concordia,100,,,,,,,,,,,,,False
40,ANTIOQUIA-COPACABANA,2018,Colombia,ANTIOQUIA,COPACABANA,76479,37084,39395,,52,679,11927,69567,2575,61702,1606,3045,17349,32795,17175,1610,34052,3125,30422,27641,27093,39,,,92,4060,1095,8081,75101,,3032,12385,79,202,21470,3216,62230,29733,32497,,40,597,9191,56886,1816,50624,1040,2277,12843,27115,14951,1388,27849,2604,24794,21366,21020,22,,,30,567,117,5524,61472,,518,1750,38,69,14424,319.0,copacabana,antioquia,antioquia,antioquia,100,40,antioquia,copacabana,copacabana,100,,,,,,,,,,,,,False
41,ANTIOQUIA-DABEIBA,2018,Colombia,ANTIOQUIA,DABEIBA,22717,11546,11171,,4747,116,2506,16086,4158,12248,2948,4057,8591,6154,1190,117,7629,452,9566,7629,6699,1609,,,964,3549,3579,5729,18796,,12129,13546,6700,4030,20185,13505,8877,4252,4625,,106,78,1123,7185,999,5848,722,1012,2706,3322,1022,104,3531,334,3511,3225,3115,39,,,148,162,94,2145,8661,,369,471,93,415,6488,258.0,dabeiba,antioquia,antioquia,antioquia,100,41,antioquia,dabeiba,dabeiba,100,,,,,,,,,,,,,False
42,ANTIOQUIA-DON MATIAS,2018,Colombia,ANTIOQUIA,DON MATIAS,14208,6563,7645,,0,64,580,12729,570,10731,382,677,5020,6087,1377,104,6480,333,5227,6570,6489,2,,,6,880,871,2830,14052,,1497,2753,5,8,8206,2723,11070,4992,6078,,0,62,394,10052,338,8507,214,432,3545,5018,1271,94,5286,292,3842,4262,4190,0,,,1,14,21,1889,10926,,15,45,0,1,5256,59.0,don matias,antioquia,antioquia,antioquia,100,42,antioquia,don matias,don matias,100,,,,,,,,,,,,,False
